mechanism,target_construct,n_paired_diffs,n_off,n_on,mean_diff,mean_diff_ci_low,mean_diff_ci_high,paired_cohens_dz,independent_cohens_d,p,p_formatted,effect_key
workspace,Boundary self,0,8,8,0.467891812235273,0.4346692821640991,0.49630622481801423,,9.667801895022658,2.441932944202979e-07,2.4e-07,workspace_effect_boundary_self
action_loop,Boundary self,0,8,8,-0.04525551947244588,-0.0781478174499623,-0.015689824622360543,,-0.1784613857809594,0.7266388753266162,0.7266,action_effect_boundary_self
workspace,Identity-temporal self,0,16,16,0.2535483487273029,0.21131936178654007,0.28587952799642624,,4.437823719697111,2.1190871851274286e-09,2.1e-09,workspace_effect_identity_temporal_self
action_loop,Identity-temporal self,0,16,16,0.013086799442008525,-0.02006862774473474,0.054560379162248776,,0.09171205071101467,0.7970995690877248,0.7971,action_effect_identity_temporal_self
workspace,Action agency,0,8,8,-0.001056455761908881,-0.006155290406252345,0.004904619655637821,,-0.0027781257112703883,0.9956451741631961,0.9956,workspace_effect_action_agency
action_loop,Action agency,0,8,8,0.7113407858345744,0.7063950783819362,0.7173408613532932,,116.26929921788889,7.180173711946978e-15,<1e-9,action_effect_action_agency
workspace,Action ownership,0,16,16,7.036811874816529e-05,-0.0002173256719733743,0.00036073345343583523,,0.00014076510687434103,0.9996849629688692,0.9997,workspace_effect_action_ownership
action_loop,Action ownership,0,16,16,0.9680468932304742,0.9677507052502051,0.9683316372096151,,2217.0029113390065,1.471214320829288e-49,<1e-9,action_effect_action_ownership
meta_monitor_strength,Distributed body-schema self,8,4,4,0.8379916004208413,,,,81.11753772605331,1.4242858468961623e-06,1.4e-06,meta_monitor_strength_high_minus_low
