architecture,condition,seed,proxy_self_model,proxy_boundary_self,proxy_temporal_self,proxy_ownership_self,proxy_legacy_self_model,proxy_agency,independent_self_model,independent_agency,self_discrepancy,test_boundary_perturbation,pass_boundary_perturbation,detail_boundary_perturbation_recovery_inside,detail_boundary_perturbation_recovery_outside,detail_boundary_perturbation_recovery_control,detail_boundary_perturbation_inside_to_outside_control_ratio,test_computational_mirror,pass_computational_mirror,detail_computational_mirror_accuracy,detail_computational_mirror_mean_similarity_margin,test_ownership_attribution,pass_ownership_attribution,detail_ownership_attribution_accuracy,detail_ownership_attribution_mean_self_vs_prior_margin,test_intentional_binding,pass_intentional_binding,test_error_attribution,pass_error_attribution,test_controllability_preference,pass_controllability_preference,test_forced_action_probe,pass_forced_action_probe,test_architecture_self_probe,pass_architecture_self_probe,detail_architecture_self_probe_workspace_enabled,detail_architecture_self_probe_reticular_enabled,detail_architecture_self_probe_membership_accuracy,detail_architecture_self_probe_capacity_boundary,detail_architecture_self_probe_gating_consistency,detail_architecture_self_probe_kept_high_rate,detail_architecture_self_probe_rejected_low_rate,independent_self_core_boundary,independent_self_identity_ownership,self_core_discrepancy,self_identity_discrepancy,boundary_proxy_discrepancy,temporal_proxy_discrepancy,ownership_proxy_discrepancy,self_m_phi_proxy,self_m_pci_proxy,self_m_self_model_stability,self_m_boundary_self_proxy,self_m_temporal_self_proxy,self_m_ownership_self_proxy,self_m_legacy_self_model_stability,self_m_temporal_continuity,self_m_agency_proxy,self_m_legacy_agency_proxy,self_m_gating_coordination_proxy,self_m_gating_agency_proxy,self_m_action_agency_proxy,self_m_threshold_stability,self_m_workspace_presence,self_m_workspace_temporal,self_m_source_diversity,self_m_cortical_presence,self_m_instability,self_m_avoidance_rate,self_m_negative_value,self_i_arch_thalamus,self_i_arch_distributed,self_i_workspace_enabled,self_i_reticular_enabled,self_i_workspace_capacity,self_i_workspace_load,self_i_mean_workspace_size,self_i_std_workspace_size,self_i_workspace_cv,self_i_mean_source_count,self_i_mean_gated_count,self_i_std_gated_count,m_phi_proxy,m_pci_proxy,m_self_model_stability,m_boundary_self_proxy,m_temporal_self_proxy,m_ownership_self_proxy,m_legacy_self_model_stability,m_temporal_continuity,m_agency_proxy,m_legacy_agency_proxy,m_gating_coordination_proxy,m_gating_agency_proxy,m_action_agency_proxy,m_threshold_stability,m_workspace_presence,m_workspace_temporal,m_source_diversity,m_cortical_presence,m_instability,m_avoidance_rate,m_negative_value,i_arch_thalamus,i_arch_distributed,i_workspace_enabled,i_action_loop_enabled,i_workspace_capacity,i_workspace_load,i_mean_gated_count,i_std_gated_count,i_gated_entropy,i_mean_threshold,i_std_threshold,i_mean_workspace_size,i_std_workspace_size,i_mean_arousal,i_std_arousal,i_mean_cortical_norm,i_action_frequency,i_action_norm_mean,i_action_norm_std,i_internal_prediction_error,i_behavior_action_similarity,self_m_action_prediction_error,self_m_action_predicted_gain,self_m_action_intention_alignment,self_m_action_presence,m_action_prediction_error,m_action_predicted_gain,m_action_intention_alignment,m_action_presence,detail_architecture_self_probe_centroid_tracking,detail_architecture_self_probe_active_count_tracking,detail_architecture_self_probe_external_boundary_stability,detail_architecture_self_probe_schema_damage_recovery,self_m_actual_success_rate,self_m_action_feedback_enabled,self_i_num_agents,self_i_active_agents_mean,self_i_active_agents_std,self_i_spread_mean,self_i_spread_std,self_i_goal_alignment_mean,self_i_goal_alignment_std,self_i_energy_mean,self_i_energy_std,self_i_centroid_x,self_i_centroid_y,m_actual_success_rate,m_action_feedback_enabled,i_action_feedback_enabled,i_num_agents,i_mean_success,i_std_success,i_mean_controllability,i_std_controllability,i_mean_goal_alignment,i_std_goal_alignment,i_mean_conflicts,i_std_conflicts,i_mean_energy,i_std_energy,i_spread
thalamus,W-A-,20260521,0.1814938092123717,0.1814938092123717,0.24923360661536414,0.0,0.30098109350007385,0.0,0.47188724267175786,0.14065095253231275,-0.2903934334593862,0.4596454245877408,False,0.8655526043090684,0.9462617551335868,0.8889760927384789,0.9147073731061609,0.9361702127659575,True,0.9361702127659575,0.859674531814884,0.3333333333333333,False,0.3333333333333333,0.056058176666271775,0.000209745018093911,False,0.030852814978487297,False,0.33154125013266983,False,0.2,False,0.15839999999999999,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3090227122938704,0.6347517730496454,-0.1275289030814987,-0.4532579638372737,-0.1275289030814987,-0.6869366061505933,-0.3333333333333333,0.24281702627310428,0.8672742047724077,0.1814938092123717,0.1814938092123717,0.24923360661536414,0.0,0.30098109350007385,0.0,0.0,0.012766709624503906,0.012766709624503906,0.012766709624503906,0.0,0.9881844264614565,0.0,0.0,0.0109375,0.028851405616369265,0.02371908361772672,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.0546875,0.22736925329461324,4.157533179637643,0.0546875,0.0546875,0.22736925329461324,0.24281702627310428,0.8672742047724077,0.1814938092123717,0.1814938092123717,0.24923360661536414,0.0,0.30098109350007385,0.0,0.0,0.012766709624503906,0.012766709624503906,0.012766709624503906,0.0,0.9881844264614565,0.0,0.0,0.0109375,0.028851405616369265,0.02371908361772672,0.0,0.0,1.0,0.0,0.0,0.0,96.0,0.0,0.0546875,0.22736925329461324,0.10199495790461156,0.6602865858585092,0.0029538933846358735,0.0546875,0.22736925329461324,0.19079683365587713,0.011903510079183261,0.01298313252736617,0.0,0.0,0.0,1.0,1.4574005335887819e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W-A-,20260522,0.184049588038735,0.184049588038735,0.25104345324305033,0.0,0.30425002102133386,0.0,0.49080812246253147,0.13641072287113004,-0.30675853442379647,0.49410553949551617,False,0.9443515764277542,0.9561404974367219,0.955848859215016,0.9876703046878862,0.9148936170212766,True,0.9148936170212766,0.8551376685837334,0.3958333333333333,False,0.3958333333333333,0.03485298914592986,0.0001097534412926778,False,0.05507071890219206,False,0.29046241914103543,False,0.2,False,0.15839999999999999,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3262527697477581,0.655363475177305,-0.14220318170902307,-0.47131388713857,-0.14220318170902307,-0.6638501637782263,-0.3958333333333333,0.3981012263189847,1.0,0.184049588038735,0.184049588038735,0.25104345324305033,0.0,0.30425002102133386,0.0,0.0,0.16178988555673846,0.16178988555673846,0.16178988555673846,0.0,0.9891738129722013,0.0,0.0,0.01875,0.046853771296734785,0.023340932985695347,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.09375,0.2914805954090255,3.10909318736894,0.09375,0.09375,0.2914805954090255,0.3981012263189847,1.0,0.184049588038735,0.184049588038735,0.25104345324305033,0.0,0.30425002102133386,0.0,0.0,0.16178988555673846,0.16178988555673846,0.16178988555673846,0.0,0.9891738129722013,0.0,0.0,0.01875,0.046853771296734785,0.023340932985695347,0.0,0.0,1.0,0.0,0.0,0.0,96.0,0.0,0.09375,0.2914805954090255,0.14962149624100982,0.6661125971398949,0.002706546756949678,0.09375,0.2914805954090255,0.18973630091600122,0.012514745957896652,0.021084197083530654,0.0,0.0,0.0,1.0,1.4129825087749737e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W-A-,20260523,0.18347364838339847,0.18347364838339847,0.25039523923957285,0.0,0.3032418822511199,0.0,0.49334530373338614,0.15412525329619894,-0.3098716553499877,0.4847507184796439,False,0.8888058874673648,0.919304450508077,0.7228499444261525,0.9668243061111513,0.851063829787234,True,0.851063829787234,0.7411836342953727,0.4791666666666667,False,0.4791666666666667,0.03712851470383104,0.001902902192592161,False,0.08029960352592477,False,0.3342985074662788,False,0.2,False,0.15839999999999999,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.32157535923982195,0.6651152482269503,-0.13810171085642348,-0.48164159984355187,-0.13810171085642348,-0.6006685905476612,-0.4791666666666667,0.28135732544420755,1.0,0.18347364838339847,0.18347364838339847,0.25039523923957285,0.0,0.3032418822511199,0.0,0.0,0.018754140316390826,0.018754140316390826,0.018754140316390826,0.0,0.9853309569582914,0.0,0.0,0.0203125,0.045957201636325294,0.027762461280338685,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.1015625,0.3020721082684563,2.974219166023781,0.1015625,0.1015625,0.3020721082684563,0.28135732544420755,1.0,0.18347364838339847,0.18347364838339847,0.25039523923957285,0.0,0.3032418822511199,0.0,0.0,0.018754140316390826,0.018754140316390826,0.018754140316390826,0.0,0.9853309569582914,0.0,0.0,0.0203125,0.045957201636325294,0.027762461280338685,0.0,0.0,1.0,0.0,0.0,0.0,96.0,0.0,0.1015625,0.3020721082684563,0.15797637449365276,0.666746385595355,0.0036672607604271304,0.1015625,0.3020721082684563,0.19097080270138125,0.013093418238630111,0.020680740736346383,0.0,0.0,0.0,1.0,1.4421105420936442e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W-A-,20260524,0.18045380927661633,0.18045380927661633,0.2484519056211366,0.0,0.2996340832821114,0.0,0.4839360970668948,0.17888623571935847,-0.3034822877902784,0.44534084216828823,False,0.8744114244719305,0.9837297401353541,0.7539166805999713,0.88887362940925,0.9361702127659575,True,0.9361702127659575,0.8615007603595624,0.3958333333333333,False,0.3958333333333333,0.05497143068054766,0.00022726096031711052,False,0.062435618943668045,False,0.4528820629734487,False,0.2,False,0.15839999999999999,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3018704210841441,0.6660017730496454,-0.12141661180752775,-0.485547963773029,-0.12141661180752775,-0.6877183071448209,-0.3958333333333333,0.28313394690832727,0.8216281939949126,0.18045380927661633,0.18045380927661633,0.2484519056211366,0.0,0.2996340832821114,0.0,0.0,0.003614276963939901,0.003614276963939901,0.003614276963939901,0.0,0.9875576224845464,0.0,0.0,0.0078125,0.02194921536747495,0.02369050014099279,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.0390625,0.19374369949433196,4.959711738434394,0.0390625,0.0390625,0.19374369949433196,0.28313394690832727,0.8216281939949126,0.18045380927661633,0.18045380927661633,0.2484519056211366,0.0,0.2996340832821114,0.0,0.0,0.003614276963939901,0.003614276963939901,0.003614276963939901,0.0,0.9875576224845464,0.0,0.0,0.0078125,0.02194921536747495,0.02369050014099279,0.0,0.0,1.0,0.0,0.0,0.0,96.0,0.0,0.0390625,0.19374369949433196,0.07932571710634552,0.6662409827807452,0.0031105943788634115,0.0390625,0.19374369949433196,0.19231430839635238,0.011248122625539161,0.009877146915363727,0.0,0.0,0.0,1.0,1.4432750550241735e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W+A-,20261521,0.6954047821496457,0.6954047821496457,0.7512253151789492,0.0,0.6949215655569054,0.0,0.8011725627455201,0.21909503578378298,-0.10576778059587433,0.22175275098208036,False,0.35244914323905624,0.9033786354800581,0.9089436412748955,0.3877568720814271,1.0,True,1.0,0.5337758154540804,1.0,True,1.0,0.023778850748679126,0.17654993100329228,False,0.03773348847264209,False,0.4620967236591975,False,0.2,False,0.9829374999999999,True,1.0,1.0,0.959375,1.0,1.0,0.9375,1.0,0.6023451254910401,1.0,0.0930596566586056,-0.30459521785035426,0.0930596566586056,-0.2487746848210508,-1.0,0.31420115455737757,1.0,0.6954047821496457,0.6954047821496457,0.7512253151789492,0.0,0.6949215655569054,0.6871827459348165,0.0,0.14659532292397637,0.14659532292397637,0.14659532292397637,0.0,0.9693492196592003,0.5533854166666666,0.6871827459348165,0.6546875,0.20764958256745014,0.04343399179637998,0.0,0.0,1.0,0.0,1.0,1.0,96.0,0.07291666666666667,5.3125,1.6618419750385414,0.31281725406518346,3.2734375,0.125,0.3535533905932738,0.31420115455737757,1.0,0.6954047821496457,0.6954047821496457,0.7512253151789492,0.0,0.6949215655569054,0.6871827459348165,0.0,0.14659532292397637,0.14659532292397637,0.14659532292397637,0.0,0.9693492196592003,0.5533854166666666,0.6871827459348165,0.6546875,0.20764958256745014,0.04343399179637998,0.0,0.0,1.0,0.0,1.0,0.0,96.0,0.07291666666666667,0.125,0.3535533905932738,0.18754377171426387,0.47298213579849213,0.007662695085199917,5.3125,1.6618419750385414,0.1913540904555705,0.01278321145558027,0.09344231215535256,0.0,0.0,0.0,1.0,0.06364639849193954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W+A-,20261522,0.7365172641904857,0.7365172641904857,0.809313682850651,0.0,0.7335481364424123,0.0,0.8089013607542649,0.35023267931110386,-0.0723840965637792,0.2526679430170597,False,0.3771883455830969,0.8718524595489775,0.8194590922448726,0.4326286419817203,1.0,True,1.0,0.4429963991704749,1.0,True,1.0,0.02299699627655687,0.34020938745010654,True,0.06408941830581698,False,0.7966319114884919,True,0.2,False,0.9829374999999999,True,1.0,1.0,0.959375,1.0,1.0,0.9375,1.0,0.6178027215085298,1.0,0.11871454268195591,-0.2634827358095143,0.11871454268195591,-0.19068631714934903,-1.0,0.3969141790493112,1.0,0.7365172641904857,0.7365172641904857,0.809313682850651,0.0,0.7335481364424123,0.789565780388888,0.0,0.10507784066052257,0.10507784066052257,0.10507784066052257,0.0,0.9839600145470502,0.6054687499999999,0.789565780388888,0.6453125,0.19396121373297548,0.02793043881324396,0.0,0.0,1.0,0.0,1.0,1.0,96.0,0.041666666666666664,5.8125,1.2231491119238078,0.21043421961111194,3.2265625,0.125,0.33071891388307384,0.3969141790493112,1.0,0.7365172641904857,0.7365172641904857,0.809313682850651,0.0,0.7335481364424123,0.789565780388888,0.0,0.10507784066052257,0.10507784066052257,0.10507784066052257,0.0,0.9839600145470502,0.6054687499999999,0.789565780388888,0.6453125,0.19396121373297548,0.02793043881324396,0.0,0.0,1.0,0.0,1.0,0.0,96.0,0.041666666666666664,0.125,0.33071891388307384,0.1811881477331988,0.48430707092401215,0.004009996363237464,5.8125,1.2231491119238078,0.18824017697408474,0.011890453360294135,0.08728254617983897,0.0,0.0,0.0,1.0,0.07489844023079473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W+A-,20261523,0.7048253016463938,0.7048253016463938,0.7975042998111845,0.0,0.7077826871962634,0.0,0.7715176920582064,0.2896136363219701,-0.06669239041181263,0.13725826823282594,False,0.1930608082486025,0.9185442717829506,0.8294486499887602,0.21018127724411112,1.0,True,1.0,0.5364414459264749,1.0,True,1.0,0.02370130142228767,0.12435577919049862,False,0.061603142805253856,False,0.772495623292128,True,0.2,False,0.9488125,True,1.0,1.0,0.878125,1.0,1.0,0.8125,1.0,0.543035384116413,1.0,0.16178991752998084,-0.2951746983536062,0.16178991752998084,-0.20249570018881546,-1.0,0.3549670676375539,1.0,0.7048253016463938,0.7048253016463938,0.7975042998111845,0.0,0.7077826871962634,0.7868595171068407,0.0,0.11794510733405776,0.11794510733405776,0.11794510733405776,0.0,0.9689262616096881,0.5305989583333333,0.7868595171068407,0.6125,0.17269926594509918,0.04415946535813246,0.0,0.0,1.0,0.0,1.0,1.0,96.0,0.052083333333333336,5.09375,1.085684547877513,0.2131404828931593,3.0625,0.109375,0.3121091305537215,0.3549670676375539,1.0,0.7048253016463938,0.7048253016463938,0.7975042998111845,0.0,0.7077826871962634,0.7868595171068407,0.0,0.11794510733405776,0.11794510733405776,0.11794510733405776,0.0,0.9689262616096881,0.5305989583333333,0.7868595171068407,0.6125,0.17269926594509918,0.04415946535813246,0.0,0.0,1.0,0.0,1.0,0.0,96.0,0.052083333333333336,0.109375,0.3121091305537215,0.16600929551149216,0.47923699267508113,0.007768434597577974,5.09375,1.085684547877513,0.1893665111685356,0.013085726967820552,0.07771466967529464,0.0,0.0,0.0,1.0,0.0887417913381442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W+A-,20261524,0.6437396119174613,0.6437396119174613,0.6952903636341305,0.0,0.6496031170753644,0.0,0.8296032591030451,0.3503711401824211,-0.1858636471855838,0.3525380364121803,False,0.587621187544821,0.777352512550264,0.8825451147204604,0.665825664596133,1.0,True,1.0,0.5057538270879922,1.0,True,1.0,0.0374730763526687,0.3106500839131351,False,0.10841746555939984,False,0.7824170112571495,True,0.2,False,0.9658749999999999,True,1.0,1.0,0.91875,1.0,1.0,0.875,1.0,0.6592065182060901,1.0,-0.01546690628862879,-0.3562603880825387,-0.01546690628862879,-0.30470963636586945,-1.0,0.36015312368266184,1.0,0.6437396119174613,0.6437396119174613,0.6952903636341305,0.0,0.6496031170753644,0.6350755034488937,0.0,0.17189374054868994,0.17189374054868994,0.17189374054868994,0.0,0.9689953469489561,0.47444661458333326,0.6350755034488937,0.51875,0.24221236434476223,0.04294836762375495,0.0,0.0,1.0,0.0,1.0,1.0,96.0,0.052083333333333336,4.5546875,1.6621174078096137,0.3649244965511063,2.59375,0.09375,0.2914805954090255,0.36015312368266184,1.0,0.6437396119174613,0.6437396119174613,0.6952903636341305,0.0,0.6496031170753644,0.6350755034488937,0.0,0.17189374054868994,0.17189374054868994,0.17189374054868994,0.0,0.9689953469489561,0.47444661458333326,0.6350755034488937,0.51875,0.24221236434476223,0.04294836762375495,0.0,0.0,1.0,0.0,1.0,0.0,96.0,0.052083333333333336,0.09375,0.2914805954090255,0.14962149624100982,0.48358044854497756,0.007751163262760975,4.5546875,1.6621174078096137,0.1905879948627081,0.011943714572711008,0.10899556395514301,0.0,0.0,0.0,1.0,0.11661488731851277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W-A+,20262521,0.17980832106918693,0.17980832106918693,0.2470641321632008,0.7500669089828278,0.29822339098544387,0.7073767087548055,0.6187489880400272,0.4540721186100245,-0.4389406669708403,0.48326261882677546,False,0.9347588589148846,0.9682336212613337,0.9652386507742627,0.9654269779406741,1.0,True,1.0,0.2712313583315582,0.8333333333333334,True,0.8333333333333334,0.1673512936759219,0.09682679107800851,False,0.09245318912117292,False,0.6591825415839783,True,0.9678259526569383,True,0.15839999999999999,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3208313094133877,0.9166666666666667,-0.1410229883442008,-0.7368583455974798,-0.1410229883442008,-0.7529358678367992,-0.08326642435050557,0.2754151410609405,0.8672742047724077,0.17980832106918693,0.17980832106918693,0.2470641321632008,0.7500669089828278,0.29822339098544387,0.0,0.7073767087548055,0.5443973901281657,0.24172151267869177,0.24172151267869177,0.7073767087548055,0.9795065286528032,0.0,0.0,0.0109375,0.0273080738960293,0.03341791595607839,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.0546875,0.22736925329461324,4.157533179637643,0.0546875,0.0546875,0.22736925329461324,0.2754151410609405,0.8672742047724077,0.17980832106918693,0.17980832106918693,0.2470641321632008,0.7500669089828278,0.29822339098544387,0.0,0.7073767087548055,0.5443973901281657,0.24172151267869177,0.24172151267869177,0.7073767087548055,0.9795065286528032,0.0,0.0,0.0109375,0.0273080738960293,0.03341791595607839,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.0546875,0.22736925329461324,0.10199495790461156,0.6583132226209328,0.005123367836799203,0.0546875,0.22736925329461324,0.190335400982235,0.012924444608881577,0.012288633253213187,1.0,0.10748021369614635,0.012322198894394485,0.35191523600633656,0.15034419305725844,0.35191523600633656,1.0113207446487702,0.4914864097321848,0.8598417095691708,0.35191523600633656,1.0113207446487702,0.4914864097321848,0.8598417095691708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalamus,W-A+,20262522,0.18301088722209655,0.18301088722209655,0.24913622449343553,0.7511524302844615,0.3020044763756513,0.7082092096369401,0.628254240096248,0.45924477064568214,-0.4452433528741514,0.5212836270516588,False,0.9502721399488343,0.9054999186912451,0.9077048858455168,1.046895477557848,1.0,True,1.0,0.27736387975187643,0.8333333333333334,True,0.8333333333333334,0.21594100664010885,0.1292473399979387,False,0.0883352559918021,False,0.6511527338071024,True,0.9682437527858855,True,0.15839999999999999,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3398418135258294,0.9166666666666667,-0.15683092630373283,-0.7336557794445702,-0.15683092630373283,-0.7508637755065645,-0.08218090304887182,0.3677167680652741,1.0,0.18301088722209655,0.18301088722209655,0.24913622449343553,0.7511524302844615,0.3020044763756513,0.0,0.7082092096369401,0.46543836662866866,0.014578229613307478,0.014578229613307478,0.7082092096369401,0.9765448979737421,0.0,0.0,0.025,0.05291006983528683,0.036548175350650844,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.125,0.33071891388307384,2.6457301452234288,0.125,0.125,0.33071891388307384,0.3677167680652741,1.0,0.18301088722209655,0.18301088722209655,0.24913622449343553,0.7511524302844615,0.3020044763756513,0.0,0.7082092096369401,0.46543836662866866,0.014578229613307478,0.014578229613307478,0.7082092096369401,0.9765448979737421,0.0,0.0,0.025,0.05291006983528683,0.036548175350650844,0.0,0.0,1.0,0.0,0.0,1.0,96.0,0.0,0.125,0.33071891388307384,0.1811881477331988,0.6690391036220293,0.005863775506564473,0.125,0.33071891388307384,0.18853979823420794,0.013093073324392954,0.023809531425879073,1.0,0.10769723185083241,0.012109819301861275,0.3514341523735063,0.14992919427207418,0.3514341523735063,0.9692415231162663,0.5037094859611613,0.8615778548066593,0.3514341523735063,0.9692415231162663,0.5037094859611613,0.8615778548066593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
