architecture,condition,seed,proxy_state,proxy_content,proxy_self_model,proxy_agency,proxy_temporal_continuity,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,pass_boundary_perturbation,pass_computational_mirror,pass_ownership_attribution,pass_intentional_binding,pass_error_attribution,pass_controllability_preference
thalamus,W-A-,20260521,0.7549349577091639,0.23915843363494976,0.28565714621882293,0.9026069735355311,0.0,0.5799818705277598,0.09987931775921743,0.49083213640597445,0.9574468085106383,0.2916666666666667,0.005776027084556749,0.023860250853457995,0.27000167533963754,False,True,False,False,False,False
thalamus,W-A-,20260522,0.7327085602976817,0.4724966558153342,0.2873303553179004,0.8556188186023332,0.0,0.6231373083672919,0.09800544924139333,0.49618497474726575,0.9148936170212766,0.4583333333333333,0.0002367550327120327,0.021312663679086963,0.272466929012381,False,True,False,False,False,False
thalamus,W+A-,20261521,0.7364116974083641,0.4633258959747323,0.6691241738307372,0.24475130912326862,0.6636080675963117,0.7893994351368289,0.3555244699673103,0.3681983054104865,1.0,1.0,0.2106438210820109,0.02924678179040662,0.8266828070295132,False,True,True,False,False,True
thalamus,W+A-,20261522,0.7394684363654491,0.4600897790601583,0.7230191114239214,0.2666237570908706,0.7367645640148267,0.7653142131433485,0.3720472563569026,0.2959426394300455,1.0,1.0,0.3744108962219902,0.021125639961571362,0.7206052328871464,False,True,True,True,False,True
thalamus,W-A+,20262521,0.7313034333932253,0.21170959316914412,0.28565244143275603,0.7804056316482896,0.0,0.7301153561541893,0.2697266541968048,0.44034606846256785,1.0,0.75,0.07417584643200267,0.08267210498353403,0.6523320111748776,False,True,True,False,False,True
thalamus,W-A+,20262522,0.7306039768529206,0.3852270145859461,0.2856991405381052,0.7403247505516747,0.0,0.747848070832906,0.2530400906846278,0.4727108791653848,1.0,0.7708333333333334,0.11359237403722466,0.08732922724160162,0.5581986707750571,False,True,True,False,False,False
thalamus,W+A+,20263521,0.7575061275507174,0.48299774006200424,0.6700997716648622,0.5713810164207195,0.6528967352662279,0.6943184553353551,0.34208179050786464,0.24962203267273192,1.0,0.8333333333333334,0.4400205520539935,0.018288723489147153,0.5679360959804534,False,True,True,True,False,False
thalamus,W+A+,20263522,0.7329070769494372,0.45277624906490516,0.7242680015792892,0.5335775991556606,0.7441520897783105,0.6686025404806579,0.3171277900634302,0.27664095477530737,1.0,0.7291666666666666,0.3639285105383602,0.018278189766990013,0.5691766698849404,False,True,True,True,False,False
distributed,feedback_off,20264521,0.5520501048222287,0.6825400633262542,0.9297543638070159,0.0,0.9901942514362025,0.6392243163928976,0.18566195332857074,0.48017294917869247,1.0,0.4375,0.23561012571906262,0.03167038878503961,0.28970534548161,False,True,False,False,False,False
distributed,feedback_off,20264522,0.5099269307295513,0.6664036262834911,0.8942056550228852,0.0,0.9850682466241358,0.6410994483867148,0.10168454083845123,0.4857983451601447,1.0,0.4375,0.13772058057644848,0.017660499464400223,0.14967254247450495,False,True,False,False,False,False
distributed,feedback_on,20265521,0.5885131722592412,0.7534897313134967,0.9904868779064818,0.4229834703039957,0.9944705421956628,0.6867598456048779,0.18279815923599763,0.4977795368146335,1.0,0.5625,0.1726973969391495,0.031202615900616286,0.3444944648682271,False,True,False,False,False,False
distributed,feedback_on,20265522,0.5581100842178629,0.6747803722969898,0.9291250924992402,0.3741283098632587,0.9825903670390531,0.6260943992323004,0.12740393493926563,0.5032831976969013,1.0,0.375,0.21300101873352803,0.020584529562432674,0.14862625652183625,False,True,False,False,False,False
