study,condition,dose,seed,proxy_attention_focus_self,independent_attention_focus_self,attention_focus_preference,attention_focus_pattern_stability,attention_focus_entropy_resistance,attention_focus_recovery,attention_focus_leak_reduction,proxy_context_window_self,independent_context_window_self,context_retention,context_inclusion,context_contamination_resistance,context_reentry_discrimination,context_reentry_own,effect_noise_scale,proxy_agency,independent_agency,proxy_boundary_self,independent_boundary_self
attention_focus_self,salience_0.00,0.0,20260525.5,0.5056712296597754,0.9449121943825222,0.484343164206542,0.957810530920467,0.0014945859627657765,0.9638858714322229,0.9164516788079711,,,,,,,,,,,,
attention_focus_self,salience_0.35,0.35,20260875.5,0.48769208400696673,0.949701759613121,0.44902615184535055,0.9492164867345445,0.0034614786247826185,0.972790733631738,0.9150682985851954,,,,,,,,,,,,
attention_focus_self,salience_0.70,0.7,20261225.5,0.48776344563500457,0.945299162496182,0.47167528262056746,0.9118022329664387,0.007875594263270322,0.9648928568221646,0.915908621007208,,,,,,,,,,,,
attention_focus_self,salience_1.10,1.1,20261625.5,0.479214922621491,0.9469584091408152,0.4472970114129777,0.9208422917834774,0.006714319802431437,0.9683946019885471,0.9148041198692175,,,,,,,,,,,,
attention_focus_self,salience_1.60,1.6,20262125.5,0.42245303880658464,0.9447660994947497,0.35992349601889956,0.8491158968077706,0.02301078622299485,0.9643697024555294,0.9153606950535801,,,,,,,,,,,,
context_window_self,pressure_0.00,0.0,20280525.5,,,,,,,,0.5692166933671482,0.48373437702020294,0.5792190861385174,0.5814578674980763,0.5252892549024435,-0.021681526172099598,0.5129910023003703,,,,,
context_window_self,pressure_0.20,0.2,20280725.5,,,,,,,,0.6017432704301073,0.6160132962235717,0.6192286809312528,0.6173526605895391,0.5350846640235243,0.09809749728934562,0.6109021946526427,,,,,
context_window_self,pressure_0.40,0.4,20280925.5,,,,,,,,0.5847767267421936,0.6059568320689819,0.589773599719898,0.5941869415435173,0.5570658866400424,0.08949283100627048,0.6016531366533537,,,,,
context_window_self,pressure_0.65,0.65,20281175.5,,,,,,,,0.6437661208409368,0.5693037522247949,0.6626646968265012,0.6485520055782942,0.5928690265830417,0.05270559511330342,0.5874748664912872,,,,,
context_window_self,pressure_0.90,0.9,20281425.5,,,,,,,,0.6541374606569731,0.6418682399986626,0.690980202851678,0.6536687643138568,0.5720615093193406,0.13625659155527192,0.5769492303956716,,,,,
predictive_agency_without_boundary,workspace_0.00_noise_0.02,0.0,20300545.5,,,,,,,,,,,,,,,0.02,0.8536067848680613,0.9463804078568183,0.08309995156830796,0.46581887223807805
predictive_agency_without_boundary,workspace_0.00_noise_0.12,0.0,20300645.5,,,,,,,,,,,,,,,0.12,0.4122577333141441,0.7260141514428331,0.076478121027056,0.42842233473518543
predictive_agency_without_boundary,workspace_0.00_noise_0.42,0.0,20300945.5,,,,,,,,,,,,,,,0.42,0.147693365981069,0.5687993198684806,0.08629440757889946,0.4259001420668492
predictive_agency_without_boundary,workspace_0.35_noise_0.02,0.35,20304045.5,,,,,,,,,,,,,,,0.02,0.8540404075514715,0.9515442374717653,0.9106963171661412,0.49117107896132217
predictive_agency_without_boundary,workspace_0.35_noise_0.12,0.35,20304145.5,,,,,,,,,,,,,,,0.12,0.4144308915847905,0.727265569701797,0.8885451823538798,0.5168041669362572
predictive_agency_without_boundary,workspace_0.35_noise_0.42,0.35,20304445.5,,,,,,,,,,,,,,,0.42,0.14981610026450143,0.572333373447009,0.8855817483495295,0.509704742146005
predictive_agency_without_boundary,workspace_0.70_noise_0.02,0.7,20307545.5,,,,,,,,,,,,,,,0.02,0.851619163164675,0.9533282121894431,0.9114253119413082,0.5338364351095265
predictive_agency_without_boundary,workspace_0.70_noise_0.12,0.7,20307645.5,,,,,,,,,,,,,,,0.12,0.41226388124556135,0.7388679983016541,0.913686877412233,0.49621993882683824
predictive_agency_without_boundary,workspace_0.70_noise_0.42,0.7,20307945.5,,,,,,,,,,,,,,,0.42,0.14872607952517553,0.5741485937262223,0.9083106680945866,0.48410750948461057
predictive_agency_without_boundary,workspace_1.00_noise_0.02,1.0,20310545.5,,,,,,,,,,,,,,,0.02,0.8526180357021518,0.9547710393096664,0.9164862027283722,0.4872796530212343
predictive_agency_without_boundary,workspace_1.00_noise_0.12,1.0,20310645.5,,,,,,,,,,,,,,,0.12,0.4132771517179833,0.7300766215412869,0.9184997840608533,0.5367576467167939
predictive_agency_without_boundary,workspace_1.00_noise_0.42,1.0,20310945.5,,,,,,,,,,,,,,,0.42,0.1483839793565791,0.5639836363356093,0.9166287338896302,0.48625932584630427
