subset,diagnostic,x,y,n,r,r_ci_low,r_ci_high,p,p_formatted
all,proxy_agency_vs_independent,proxy_agency,independent_agency,104,0.794683408082368,0.7615828175763592,0.8358700125941987,7.602982994692399e-24,<1e-9
all,proxy_ownership_vs_independent,proxy_action_attribution,independent_action_ownership,104,0.6643925274821276,0.5891021933215895,0.7391443764519395,1.4807153247870014e-14,<1e-9
all,prediction_accuracy_vs_independent_agency,prediction_accuracy,independent_agency,104,0.7946834080823701,0.761582817576362,0.8358700125941906,7.602982994688767e-24,<1e-9
all,prediction_accuracy_vs_true_causality,prediction_accuracy,agency_true_causality,104,0.8063662600566182,0.7697190079011551,0.847805768868904,5.259612613146902e-25,<1e-9
all,proxy_agency_vs_true_causality,proxy_agency,agency_true_causality,104,0.8063662600566164,0.7697190079011585,0.847805768868909,5.259612613149102e-25,<1e-9
all,action_presence_vs_independent_agency,action_presence,independent_agency,104,0.8829717610147971,0.7495200486106792,0.9313524729677594,2.813937783757889e-35,<1e-9
action_loop_on,proxy_agency_vs_independent,proxy_agency,independent_agency,96,0.9277010962424178,0.8738718406460373,0.961377831483706,5.27399298337721e-42,<1e-9
action_loop_on,proxy_ownership_vs_independent,proxy_action_attribution,independent_action_ownership,96,0.6544868932450053,0.5552313580441376,0.7408086729553394,4.758659237863782e-13,<1e-9
action_loop_on,prediction_accuracy_vs_independent_agency,prediction_accuracy,independent_agency,96,0.9277010962424173,0.8738718406460393,0.9613778314837103,5.2739929833794246e-42,<1e-9
action_loop_on,prediction_accuracy_vs_true_causality,prediction_accuracy,agency_true_causality,96,0.9297734649762559,0.8725451264339408,0.9652404849540284,1.4108908827457195e-42,<1e-9
action_loop_on,proxy_agency_vs_true_causality,proxy_agency,agency_true_causality,96,0.9297734649762579,0.8725451264339465,0.965240484954027,1.4108908827439107e-42,<1e-9
action_loop_on,action_presence_vs_independent_agency,action_presence,independent_agency,96,,,,,NA
noise_sweep,proxy_agency_vs_independent,proxy_agency,independent_agency,48,0.9905775358894265,0.9862698148797964,0.9942851071077623,2.2617383488557196e-41,<1e-9
noise_sweep,proxy_ownership_vs_independent,proxy_action_attribution,independent_action_ownership,48,0.8282581922732413,0.7853576216110285,0.8751770612652847,3.7583403145677287e-13,<1e-9
noise_sweep,prediction_accuracy_vs_independent_agency,prediction_accuracy,independent_agency,48,0.9905775358894289,0.9862698148798,0.9942851071077657,2.2617383488435208e-41,<1e-9
noise_sweep,prediction_accuracy_vs_true_causality,prediction_accuracy,agency_true_causality,48,0.9954395234369753,0.9926484197711506,0.997250242621897,1.3434622196813499e-48,<1e-9
noise_sweep,proxy_agency_vs_true_causality,proxy_agency,agency_true_causality,48,0.9954395234369735,0.9926484197711489,0.9972502426218951,1.3434622196933594e-48,<1e-9
noise_sweep,action_presence_vs_independent_agency,action_presence,independent_agency,48,,,,,NA
learning_sweep,proxy_agency_vs_independent,proxy_agency,independent_agency,40,0.2658662041143413,0.0295999967164607,0.5159752948329067,0.09728523117389215,0.0973
learning_sweep,proxy_ownership_vs_independent,proxy_action_attribution,independent_action_ownership,40,-0.12229174322660179,-0.4420936408966577,0.22471035833958747,0.4522053532305029,0.4522
learning_sweep,prediction_accuracy_vs_independent_agency,prediction_accuracy,independent_agency,40,0.26586620411438394,0.02959999671650422,0.515975294832927,0.09728523117383636,0.0973
learning_sweep,prediction_accuracy_vs_true_causality,prediction_accuracy,agency_true_causality,40,0.13199289579698031,-0.13394227750739907,0.38511558432111614,0.41685690873814163,0.4169
learning_sweep,proxy_agency_vs_true_causality,proxy_agency,agency_true_causality,40,0.13199289579699477,-0.13394227750739462,0.3851155843211608,0.41685690873809106,0.4169
learning_sweep,action_presence_vs_independent_agency,action_presence,independent_agency,40,,,,,NA
